Name,Name Stripped,FoundryId,Type,Origin,Search,HammergenId,Mapped,Note
Dooming,dooming,itARFNqBAbwNDAAy,prayer,foundry,dooming,5f920811226f481f597a56bb,TRUE,
Drowned Man's Face,drownedmansface,i5DW3xX2lGu6Pps6,prayer,foundry,drownedmansface,5f90afb663028a6f2a6f7d28,TRUE,
Eagle's Eye,eagleseye,7KUKKbXBv8MbyEHt,prayer,foundry,eagleseye,5f9351b15042d9bbac90715c,TRUE,
Fair Winds,fairwinds,nQ9Fydtqshroi11E,prayer,foundry,fairwinds,5f90b01763028a6f2a6f7d29,TRUE,
Fury's Call,furyscall,nyZNUwJ54MTLKQ7Y,prayer,foundry,furyscall,5f93524963b8813ad5b4d092,TRUE,
Heed Not the Witch,heednotthewitch,Ffm7xIlRUWyacvKU,prayer,foundry,heednotthewitch,5f9366505042d9bbac907165,TRUE,
Hoarfrost's Chill,hoarfrostschill,v28a5ilgxvDJfBqR,prayer,foundry,hoarfrostschill,5f9418015b4b5f9347adcdaa,TRUE,
Howl of the Wolf,howlofthewolf,9ALNZLZUZSLrLvkd,prayer,foundry,howlofthewolf,5f9419a2cfc445903fad3999,TRUE,
Inspiring,inspiring,ezVl3vFWTwHfNXL3,prayer,foundry,inspiring,5f93527b5042d9bbac90715d,TRUE,
King of the Wild,kingofthewild,n8MfaJhczROmscCR,prayer,foundry,kingofthewild,5f9414885b4b5f9347adcda6,TRUE,
Last Rites,lastrites,rbdxcYoj8N2eMaqV,prayer,foundry,lastrites,5f934e81921c53cf2df4f95f,TRUE,
Leaping Stag,leapingstag,mXKrxO8WRZ9QLHA6,prayer,foundry,leapingstag,5f9414f65b4b5f9347adcda7,TRUE,
Lord of the Hunt,lordofthehunt,JxmIQjVuoPcQnyPF,prayer,foundry,lordofthehunt,5f9416215b4b5f9347adcda8,TRUE,
Manann's Bounty,manannsbounty,IKW03JiqXVdDoPA6,prayer,foundry,manannsbounty,5f90b12535c2e89b5b1b12a1,TRUE,
Martyr,martyr,YCjWyU567vb4Rs11,prayer,foundry,martyr,5f9363cd921c53cf2df4f968,TRUE,
Pelt of the Winter Wolf,peltofthewinterwolf,3ONBOTaeWq657MQR,prayer,foundry,peltofthewinterwolf,5f941b1888af9b12a1ea0a54,TRUE,
Portal's Threshold,portalsthreshold,uE6AXjMjYvtvXQvy,prayer,foundry,portalsthreshold,5f934f2663b8813ad5b4d090,TRUE,
Ranald's Grace,ranaldsgrace,hL7B3d7A0sYYjHXn,prayer,foundry,ranaldsgrace,5f93548e63b8813ad5b4d093,TRUE,
Rhya's Children,rhyaschildren,qB1T6ii29jreZBRP,prayer,foundry,rhyaschildren,5f935666921c53cf2df4f964,TRUE,
Rhya's Harvest,rhyasharvest,OiMiQmsv1mut24jD,prayer,foundry,rhyasharvest,5f93570f63b8813ad5b4d094,TRUE,
Rhya's Shelter,rhyasshelter,25trttu8NxFQQCo9,prayer,foundry,rhyasshelter,5f9357a15042d9bbac907161,TRUE,
Rhya's Succour,rhyassuccour,pBWXlJDOE7tfl8hP,prayer,foundry,rhyassuccour,5f93581163b8813ad5b4d095,TRUE,
Rhya's Touch,rhyastouch,0uT3mzx8v4H3gVQj,prayer,foundry,rhyastouch,5f93588363b8813ad5b4d096,TRUE,
Rhya's Union,rhyasunion,dDxhGgBBM9CugxsH,prayer,foundry,rhyasunion,5f9358f6921c53cf2df4f965,TRUE,
"Rich Man, Poor Man, Beggar Man, Thief",richmanpoormanbeggarmanthief,QSwJNH8sotKjtdi4,prayer,foundry,richmanpoormanbeggarmanthief,5f9355115042d9bbac907160,TRUE,
Sea Legs,sealegs,VUyCJ5LRPkuC5iZx,prayer,foundry,sealegs,5f90b19d35c2e89b5b1b12a2,TRUE,
Shackles of Truth,shacklesoftruth,oI3iwxVEXHRLSael,prayer,foundry,shacklesoftruth,5f941f02cfc445903fad399b,TRUE,
Shallya's Tears,shallyastears,YAauxOwJJa3JahxQ,prayer,foundry,shallyastears,5f93643a5042d9bbac907163,TRUE,
Shield of Myrmidia,shieldofmyrmidia,V8GCeqgk1FNGFg76,prayer,foundry,shieldofmyrmidia,5f9352d55042d9bbac90715e,TRUE,
Sigmar's Fiery Hammer,sigmarsfieryhammer,WgZx3xma6vYGz17e,prayer,foundry,sigmarsfieryhammer,5f9366b363b8813ad5b4d098,TRUE,
Soulfire,soulfire,5fVTY8TSua3trOW8,prayer,foundry,soulfire,5f93679c63b8813ad5b4d099,TRUE,
Spear of Myrmidia,spearofmyrmidia,BVZWihaal1zq3aJs,prayer,foundry,spearofmyrmidia,5f935319921c53cf2df4f960,TRUE,
Stay Lucky,staylucky,FfGboPdR54WHtkAE,prayer,foundry,staylucky,5f935588921c53cf2df4f962,TRUE,
Stay Morr's Hand,staymorrshand,SjKFVBXgLC51dnQz,prayer,foundry,staymorrshand,5f934fd763b8813ad5b4d091,TRUE,
Sword of Justice,swordofjustice,o5soyuEJoUk9HmCC,prayer,foundry,swordofjustice,5f941f915b4b5f9347adcdac,TRUE,
Tanglefoot,tanglefoot,ONz21FviMRk3AyvE,prayer,foundry,tanglefoot,5f94179388af9b12a1ea0a52,TRUE,
The Snow King's Judgement,thesnowkingsjudgement,GVMPSJwgscMVJzpX,prayer,foundry,thesnowkingsjudgement,5f941bafcfc445903fad399a,TRUE,
Tooth and Claw,toothandclaw,PcKMAEF6UoaPSK6d,prayer,foundry,toothandclaw,5f9416a55b4b5f9347adcda9,TRUE,
Truth Will Out,truthwillout,DA4ZB3HkOh51vhuB,prayer,foundry,truthwillout,5f94202688af9b12a1ea0a57,TRUE,
Twin-tailed Comet,twintailedcomet,rjkMzFwN1trbSLL8,prayer,foundry,twintailedcomet,5f9368625042d9bbac907166,TRUE,
Ulric's Fury,ulricsfury,F6iJdTrvBvGQ54G3,prayer,foundry,ulricsfury,5f9419e588af9b12a1ea0a53,TRUE,
Unblemished Innocence,unblemishedinnocence,SItGUVYokyOo7csk,prayer,foundry,unblemishedinnocence,5f9364f563b8813ad5b4d097,TRUE,
Vanquish the Unrighteous,vanquishtheunrighteous,I8YPP2uRmUKyHEq2,prayer,foundry,vanquishtheunrighteous,5f93689a63b8813ad5b4d09a,TRUE,
Waterwalk,waterwalk,iWVQRVDVDCx1SyPA,prayer,foundry,waterwalk,5f90b1d735c2e89b5b1b12a3,TRUE,
Winter's Bite,wintersbite,rrfrmqCpy10u7c9o,prayer,foundry,wintersbite,5f941cd388af9b12a1ea0a55,TRUE,
Wisdom of the Owl,wisdomoftheowl,fAlQcNUb6TZtPKqk,prayer,foundry,wisdomoftheowl,5f9420755b4b5f9347adcdad,TRUE,
"You Ain’t Seen Me, Right?",youaintseenmeright,fABd17NZvg2uUReL,prayer,foundry,youaintseenmeright,5f9355ed921c53cf2df4f963,TRUE,
Acquiescence,acquiescence,2fBaYkBsPZzxNSNj,spell,foundry,acquiescence,5f96cc2e9ab7ceffe01f6db9,TRUE,
Aethyric Armour,aethyricarmour,pHITBuvCatCOBhZb,spell,foundry,aethyricarmour,5f94421f88af9b12a1ea0a66,TRUE,
Aethyric Armour (Beasts),aethyricarmourbeasts,6XVrv2zgdL3CSJHX,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Aethyric Armour (Daemonology),aethyricarmourdaemonology,pjZwhUmipn2XA6h1,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Aethyric Armour (Death),aethyricarmourdeath,ojamLp1DFHJfgX6J,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Aethyric Armour (Fire),aethyricarmourfire,YNZdL7VIaShNfdnb,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Aethyric Armour (Heavens),aethyricarmourheavens,kMu92bwMe2jyXSjM,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Aethyric Armour (Hedgecraft),aethyricarmourhedgecraft,Rk5pxZwst5tg2YHq,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Aethyric Armour (Life),aethyricarmourlife,5srkF8mJss2fJbnH,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Aethyric Armour (Light),aethyricarmourlight,HVtGSSEFgyQgpbx4,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Aethyric Armour (Metal),aethyricarmourmetal,HAnyF2QUfYGuXkPn,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Aethyric Armour (Necromancy),aethyricarmournecromancy,3GDfAQLXIOuaDo1d,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Aethyric Armour (Shadow),aethyricarmourshadow,k2DXiabtQZcgFggb,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Aethyric Armour (Witchcraft),aethyricarmourwitchcraft,sjzGujskG5hqVOFv,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Aethyric Arms,aethyricarms,OnaQ9kiK5S2d31pE,spell,foundry,aethyricarms,5f9442735b4b5f9347adcdb2,TRUE,
Aethyric Arms (Beasts),aethyricarmsbeasts,UjgiulCattmtfeGL,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Aethyric Arms (Daemonology),aethyricarmsdaemonology,ZqjcMFgrlsaS8zLZ,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Aethyric Arms (Death),aethyricarmsdeath,Kv2amawh7q3zGEij,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Aethyric Arms (Fire),aethyricarmsfire,89Xcjrqa44LEluU5,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Aethyric Arms (Heavens),aethyricarmsheavens,bLCz5iBxd2wjfStI,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Aethyric Arms (Hedgecraft),aethyricarmshedgecraft,inUaqDqtE6jOumUJ,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Aethyric Arms (Life),aethyricarmslife,UMsw5Mi0Gs90yp5J,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Aethyric Arms (Light),aethyricarmslight,mOMiylDui4p0nDcO,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Aethyric Arms (Metal),aethyricarmsmetal,w0pZ963P6QS7Eh2a,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Aethyric Arms (Necromancy),aethyricarmsnecromancy,dJYAXtG1e5pmo5NZ,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Aethyric Arms (Shadow),aethyricarmsshadow,dUX1XGppNdZpUZyA,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Aethyric Arms (Witchcraft),aethyricarmswitchcraft,VCoL70hvMNDfdg6S,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Amber Talons,ambertalons,tCCaNirq3zCIkyri,spell,foundry,ambertalons,5f949953462037beb9a18acd,TRUE,
Animal Friend,animalfriend,gQ14yfwjfcJgNpMp,spell,foundry,animalfriend,5f9420f65b4b5f9347adcdae,TRUE,
Aqshy’s Aegis,aqshysaegis,UktSswGGaToftXFk,spell,foundry,aqshysaegis,5f956038b43ad7465e4b1a34,TRUE,
Arrow Shield,arrowshield,9uRDDAjndugmNmZr,spell,foundry,arrowshield,5f94435e88af9b12a1ea0a67,TRUE,
Arrow Shield (Beasts),arrowshieldbeasts,bd9bf1D55v6ov1UV,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Arrow Shield (Daemonology),arrowshielddaemonology,wi9BBLoL1TIf5aUf,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Arrow Shield (Death),arrowshielddeath,zwQQb0upMLj8bFe9,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Arrow Shield (Fire),arrowshieldfire,WbaCw5ZrN1sZtbzu,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Arrow Shield (Heavens),arrowshieldheavens,nKmrZwwjvYcS0XhE,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Arrow Shield (Hedgecraft),arrowshieldhedgecraft,vM8x6slw8TfuAJ9B,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Arrow Shield (Life),arrowshieldlife,teHEJyd80PqNHT9q,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Arrow Shield (Light),arrowshieldlight,YsBRTjGGyISyUudZ,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Arrow Shield (Metal),arrowshieldmetal,AywiuNyA8bMS7yFi,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Arrow Shield (Necromancy),arrowshieldnecromancy,iEZnh3fR7X0E0wqb,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Arrow Shield (Shadow),arrowshieldshadow,G2LKMsTYXJhzF1Tn,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Arrow Shield (Witchcraft),arrowshieldwitchcraft,YQtgIycHCNmyAl9N,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Banishment,banishment,sknoH0n9P9uC0qvW,spell,foundry,banishment,5f95c445bacf7ab6007ad403,TRUE,
Barkskin,barkskin,B7iwAtfa9EgNvKMz,spell,foundry,barkskin,5f95ac9c8af534343257ed1e,TRUE,
Bearing,bearing,MIgKjszwK6hk7Pps,spell,foundry,foundry,5f94211c88af9b12a1ea0a58,FALSE,
Beast Form,beastform,WkItvLT52Bob8Up3,spell,foundry,beastform,5f94999d462037beb9a18ace,TRUE,
Beast Master,beastmaster,FaHVRxdljzqklNTC,spell,foundry,beastmaster,5f949a45b0a15c191b9db389,TRUE,
Beast Tongue,beasttongue,gwnNz34Rh0jW4WmF,spell,foundry,beasttongue,5f949ad9f8783bb63fafc8f8,TRUE,
Blast,blast,gJYXrZa4pW49R9Vu,spell,foundry,blast,5f944421cfc445903fad39a3,TRUE,
Blast (Beasts),blastbeasts,HhfVsm3ZRwSahyMU,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Blast (Daemonology),blastdaemonology,3mZ76XJX38pT2d7r,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Blast (Death),blastdeath,1QNOsOlEtjXccQjl,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Blast (Fire),blastfire,ROmZq14yqEXx6zYN,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Blast (Heavens),blastheavens,TtiLLfX0a21t2YpO,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Blast (Hedgecraft),blasthedgecraft,wknDEJDGTEPWqHtG,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Blast (Life),blastlife,Kh8kZ4aq8Xjp0cyL,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Blast (Light),blastlight,qiLudcBEdA7qgrZp,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Blast (Metal),blastmetal,K0zoHArrRehHV8t2,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Blast (Necromancy),blastnecromancy,vzaBW9F5LVSAAV5H,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Blast (Shadow),blastshadow,8rRCSJGIdecFcpxm,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Blast (Witchcraft),blastwitchcraft,hgg9qZcvbotrA3V2,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Blight,blight,NytMCgP0IXtHnFwm,spell,foundry,blight,5f96bace47e5138b3d538de6,TRUE,
Blinding Light,blindinglight,57d5ugakBYcsphah,spell,foundry,blindinglight,5f95e65ad1e7dea805a6bdaf,TRUE,
Bolt,bolt,QmjYLCaEn3YKHxdv,spell,foundry,bolt,5f9444a25b4b5f9347adcdb3,TRUE,
Bolt (Beasts),boltbeasts,UWg4WPFALcsoPKau,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Bolt (Daemonology),boltdaemonology,Rkg1tMICxdRsH1zB,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Bolt (Death),boltdeath,zNobG855V6XwHTXh,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Bolt (Fire),boltfire,WqJubE8GuApAeIbb,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Bolt (Heavens),boltheavens,ha5MaHoDPxGtzP2b,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Bolt (Hedgecraft),bolthedgecraft,mfsHBe0DUomxl9Ro,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Bolt (Life),boltlife,Vk12kqjcz6aV9o7w,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Bolt (Light),boltlight,WNJuabKOre8IAu8y,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Bolt (Metal),boltmetal,mC2uukGCM4zykxUu,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Bolt (Necromancy),boltnecromancy,B8dvTJtaLCHgfFuP,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Bolt (Shadow),boltshadow,mifZY3mi9Ed23DAv,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Bolt (Witchcraft),boltwitchcraft,146dtKeTjibo3Pmw,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Breath,breath,cfvdViThaoOHyuSk,spell,foundry,breath,5f94453d88af9b12a1ea0a68,TRUE,
Breath (Beasts),breathbeasts,QkBpHcb2BuZMSDZt,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Breath (Daemonology),breathdaemonology,XS9i8PasJ33rNA2g,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Breath (Death),breathdeath,QcJfSMq3c50pGBen,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Breath (Fire),breathfire,FOmZlLUDNDfMAPuT,spell,foundry,breathfire,6708fbe749960d000161ceb8,TRUE,
Breath (Heavens),breathheavens,44AO7oTKwqUu78C1,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Breath (Hedgecraft),breathhedgecraft,cAej1SjgJF1J0Lbx,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Breath (Life),breathlife,KGRIdIDE57BV54Ub,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Breath (Light),breathlight,3eGh2vUgXRk3Czj8,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Breath (Metal),breathmetal,ZvNSOZZzAcjRBVBk,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Breath (Necromancy),breathnecromancy,nbqYJUSsVCSzmOU5,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Breath (Shadow),breathshadow,BKHMI2wI74a42ZQa,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Breath (Witchcraft),breathwitchcraft,75BkqdYuBwnlJl5D,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Bridge,bridge,3DvCrKaYw2mF42Nr,spell,foundry,bridge,63d012ec149a68932e0b10c1,TRUE,
Bridge (Beasts),bridgebeasts,UkRsdBSzr4K0JsM8,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Bridge (Daemonology),bridgedaemonology,Ofrbz80hutlvBXUe,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Bridge (Death),bridgedeath,enG7NVLPcWHfRXg8,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Bridge (Fire),bridgefire,xQVVrzVD7V7yCq31,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Bridge (Heavens),bridgeheavens,hFjPSbBEQXVQNXmW,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Bridge (Hedgecraft),bridgehedgecraft,HXZGXq1Ib6RytoH6,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Bridge (Life),bridgelife,PKuHxRwZ2SVVIE0y,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Bridge (Light),bridgelight,PiX6AORRMfW2xB6f,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Bridge (Metal),bridgemetal,IlDSC7F3Ns4NDbyi,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Bridge (Necromancy),bridgenecromancy,hNOnwU998jZlnGuk,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Bridge (Shadow),bridgeshadow,tHjTlaoBNbBHbW6z,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Bridge (Witchcraft),bridgewitchcraft,RtvnuANjl8Xki4Zj,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Careful Step,carefulstep,cjD53QYSatQwL6CR,spell,foundry,carefulstep,5f942b4ccfc445903fad399d,TRUE,
Caress of Laniph,caressoflaniph,vEuljwoWR2rOTU5y,spell,foundry,caressoflaniph,5f94a10cb0a15c191b9db38c,TRUE,
Cauterise,cauterise,aWxO2jpMvmZUEsK9,spell,foundry,cauterise,5f95609cb43ad7465e4b1a35,TRUE,
Cerulean Shield,ceruleanshield,wTfoDOFOnvQykpdm,spell,foundry,ceruleanshield,5f957acc491738fe840af968,TRUE,
Chain Attack,chainattack,Bx5CC17pRNITWhg8,spell,foundry,chainattack,5f9445dd5b4b5f9347adcdb4,TRUE,
Chain Attack (Beasts),chainattackbeasts,ET5sNnUsGslSNEAm,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Chain Attack (Daemonology),chainattackdaemonology,fdhFU2wkYwpJIssM,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Chain Attack (Death),chainattackdeath,HM9WbGOtUngY5TEm,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Chain Attack (Fire),chainattackfire,mYXcxTjAUlIHhlPo,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Chain Attack (Heavens),chainattackheavens,w5b653yUVENuVHzy,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Chain Attack (Hedgecraft),chainattackhedgecraft,rsLiEvTUeBKUcgVU,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Chain Attack (Life),chainattacklife,NUTVPuhPWA7xCCg3,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Chain Attack (Light),chainattacklight,kWo9eTmKWa0MxtrB,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Chain Attack (Metal),chainattackmetal,urBvn79ntZ0q44Op,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Chain Attack (Necromancy),chainattacknecromancy,oqV2s1CJix4eAUW7,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Chain Attack (Shadow),chainattackshadow,2jXYoW0CJoA5BoMd,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Chain Attack (Witchcraft),chainattackwitchcraft,EpwqkFcmpYyme4aM,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
Choking Shadows,chokingshadows,qTVOlj1aU6776dep,spell,foundry,chokingshadows,5f95ef83bc37c4be2cf99c67,TRUE,
Clarity of Thought,clarityofthought,82mmGLTAKQ4mrsBl,spell,foundry,clarityofthought,5f95e718d1e7dea805a6bdb0,TRUE,
Comet of Casandora,cometofcasandora,208BiJLY0jXxelbd,spell,foundry,cometofcasandora,5f957b686344679256ee7167,TRUE,
Conserve,conserve,cSjAAjixcMdYrKBz,spell,foundry,conserve,5f942c0288af9b12a1ea0a59,TRUE,
Corrosive Blood,corrosiveblood,qgWy2MsylxyyIm6V,spell,foundry,corrosiveblood,5f9448e488af9b12a1ea0a69,TRUE,
Corrosive Blood (Beasts),corrosivebloodbeasts,MasblfJG8SmHrVCF,spell,foundry,FALSE,FALSE,FALSE,removed elemental types
